Cargo;Codigo;Posicao
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440803;B III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440803;B III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440803;B III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440803;B III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440803;B III
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440803;B III
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440803;B III
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440803;B III
816 - AGENTE SERVICO JUDIACIARIOS - Servidores Efetivos do Poder Judiciário - LEGADO;440803;B III
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440804;B IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440804;B IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440804;B IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440804;B IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440804;B IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440804;B IV
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440805;B V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440805;B V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440805;B V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440805;B V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440805;B V
524 - AUXILIAR JUDICIARIO - Servidores do Quadro de Pessoal Efetivo do Poder Judiciário - SQPEPJ;440805;B V
